ID;Aktywny(0 lub 1);Nazwa;Kategorie(x, y, z...);Cena bez podatku. (netto);ID reguły podatku;Koszt własny;W sprzedaży(0 lub 1);Wartość rabatu;Procent rabatu;Rabat od dnia(rrrr-mm-dd);Rabat do dnia(rrrr-mm-dd);Indeks #;Kod dostawcy;Dostawca;Marka;Kod EAN13;Kod kreskowy;UPC;Podatek ekologiczny;Szerokość;Wysokość;Głębokość;Waga;Czas dostawy produktów dostępnych w magazynie:;Czas dostawy wyprzedanych produktów z możliwością rezerwacji:;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Otrzymuj powiadomienie o niskim stanie magazynów przez e-mail;Widoczność;Dodatkowe koszty przesyłki;Jednostka dla ceny za jednostkę;Cena za jednostkę;Podsumowanie;Opis;Tagi(x, y, z...);Meta - tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Etykieta, gdy w magazynie;Etykieta kiedy dozwolone ponowne zamówienie;Dostępne do zamówienia(0 = Nie, 1 = Tak);Data dostępności produktu;Data wytworzenia produktu;Pokaż cenę(0 = Nie, 1 = Tak);Adresy URL zdjęcia(x, y, z...);Tekst alternatywny dla zdjęć(x, y, z...);Usuń istniejące zdjęcia(0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online(0 = Nie, 1 = Tak);Stan:;Konfigurowalny(0 = Nie, 1 = Tak);Można wgrywać pliki(0 = Nie, 1 = Tak);Pola tekstowe(0 = Nie, 1 = Tak);Akcja kiedy brak na stanie;Wirtualny produkt(0 = No, 1 = Yes);Adres URL pliku;Ilość dozwolonych pobrań;Data wygaśnięcia(rrrr-mm-dd);Liczba dni;ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn;Akcesoria(x, y, z...)
1;1;TEE 2 PACK - T-shirt basic - white;T-shirty i koszulki polo;79;1;72;1;;;;;;;;Wrangler;;;;;;;;;;;15;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/a32bdbc7d9374704b47786cebca5891e/7b83d739fbfc46f895e3ac378ef209dd.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
2;1;Koszula - dark green;Koszule;89;1;81;1;;;;;;;;Pier One;;;;;;;;;;;26;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/c8afeef72ce13ed58f7f2924a03ee9b3/998cb80d023b49e69d99b1bf4e87cb42.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
3;1;Bluza z kapturem - moonless night;Bluzy;113;1;103;1;;;;;;;;GAP;;;;;;;;;;;15;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/a850c81375244f74baf4afd6a0adb976/cd7f43ae3cd64fadadce8cf9e88dd603.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
4;1;TEXAS STRETCH - Jeansy Straight Leg - stonewash;Jeansy;276;1;251;1;;;;;;;;Wrangler;;;;;;;;;;;9;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/b1ffd31018173279a73477a8152a9928/0876d89b77f34007b86618a476c9edc0.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
5;1;Spodnie treningowe - navy;Spodnie;113;1;103;1;;;;;;;;DAGI;;;;;;;;;;;11;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/c9c30f50029749d895836f1065a734e7/66e2e6837f104c9b984d63010a4ca43d.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
6;1;Szorty - black;Szorty;105;1;95;1;;;;;;;;Puma;;;;;;;;;;;20;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/d9fdaa6abf5f4db79852e3c6e8d6053b/5dc8d5c326744e91b48315fc350ba65f.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
7;1;BMW M MOTORSPORT  - Bluza rozpinana - medium gray heather;Odzież sportowa;239;1;217;1;;;;;;;;Puma;;;;;;;;;;;24;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/8707a6447956483f9a725a62b809327b/f12718509a2044adaa7d6daa99a17062.jpg?imwidth=300&filter=packshot;;0;;;;;;;;;;;;;;;;;
8;1;TAPE ZIP THROUGH HOODIE AND JOGGERS SET - Dres - bordeaux/ white;Dresy;171;1;155;1;;;;;;;;SIKSILK;;;;;;;;;;;6;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/cbdcfb1a852245cb90d426da808162f4/ad8ebdd6c60d4f3cb05c3b98d3b7ac96.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
9;1;SDTYLER LS 21103247 - Koszula biznesowa - insignia;Garnitury i akcesoria;113;1;103;1;;;;;;;;Solid;;;;;;;;;;;5;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/32873826ba4a3ad789041412397898a5/632b0cc33fcf4c65a7fa109bce17ba79.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
10;1;ESTATE  - Kurtka zimowa - navy;Kurtki;343;1;312;1;;;;;;;;Threadbare;;;;;;;;;;;6;;;;;;;;;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum tempus finibus augue ac sagittis. Maecenas in ultrices tellus. Vivamus vel nisl augue. Maecenas ut lobortis purus. Quisque ullamcorper diam non aliquet porta. In vel volutpat nunc. Nam non felis nec metus facilisis porta vitae nec tellus. Suspendisse potenti. Morbi magna lectus, tempor sed molestie sit amet, venenatis vitae ligula. Donec eget congue neque.;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/384a650d6ff94f69bc8c365c49df99f3/ecd5b38da7e44be2a365ca387d64f1f7.jpg?imwidth=300;;0;;;;;;;;;;;;;;;;;
