ID;Aktywny(0 lub 1);Nazwa;Kategorie(x, y, z...);Cena bez podatku. (netto);ID reguły podatku;Koszt własny;W sprzedaży(0 lub 1);Wartość rabatu;Procent rabatu;Rabat od dnia(rrrr-mm-dd);Rabat do dnia(rrrr-mm-dd);Indeks #;Kod dostawcy;Dostawca;Marka;Kod EAN13;Kod kreskowy;UPC;Podatek ekologiczny;Szerokość;Wysokość;Głębokość;Waga;Czas dostawy produktów dostępnych w magazynie:;Czas dostawy wyprzedanych produktów z możliwością rezerwacji:;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Otrzymuj powiadomienie o niskim stanie magazynów przez e-mail;Widoczność;Dodatkowe koszty przesyłki;Jednostka dla ceny za jednostkę;Cena za jednostkę;Podsumowanie;Opis;Tagi(x, y, z...);Meta - tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Etykieta, gdy w magazynie;Etykieta kiedy dozwolone ponowne zamówienie;Dostępne do zamówienia(0 = Nie, 1 = Tak);Data dostępności produktu;Data wytworzenia produktu;Pokaż cenę(0 = Nie, 1 = Tak);Adresy URL zdjęcia(x, y, z...);Tekst alternatywny dla zdjęć(x, y, z...);Usuń istniejące zdjęcia(0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online(0 = Nie, 1 = Tak);Stan:;Konfigurowalny(0 = Nie, 1 = Tak);Można wgrywać pliki(0 = Nie, 1 = Tak);Pola tekstowe(0 = Nie, 1 = Tak);Akcja kiedy brak na stanie;Wirtualny produkt(0 = No, 1 = Yes);Adres URL pliku;Ilość dozwolonych pobrań;Data wygaśnięcia(rrrr-mm-dd);Liczba dni;ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn;Akcesoria(x, y, z...)
1;1;MARCUS - Koszulka polo - light navy;T-shirty i koszulki polo;118;1;107;1;;0;2022-12-20;2022-12-24;;;;Sir Raymond Tailor;;;;;;;;0,27;;;29;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Struktura/rodzaj materiału: Pika<br />Wskazówki pielęgnacyjne: Pranie w pralce w 30°C<br /><br /><b>Szczegóły produktu</b><br />Kształt kołnierza: Polo<br />Wzór: Kolor jednolity<br />Numer produktu: ZZO1QETCE-K00<br /><br /><b>Rozmiar i krój</b><br />Fason: Regular Fit<br />Kształt: Prosty<br />Długość: Standardowa<br />Długość rękawa: Krótki rękaw<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/afafdfd5094c449fb2036b51c88f6a68/21f56a154cb8417685ab26c1db74d140.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
2;1;ORIGINAL TEE REGULAR FIT - T-shirt basic - classic white;T-shirty i koszulki polo;68;1;62;1;;0;2022-12-20;2022-12-24;;;;Tommy Jeans;;;;;;;;0,51;;;22;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Struktura/rodzaj materiału: Dżersej<br />Wskazówki pielęgnacyjne: Pranie w pralce w 40°C, pranie delikatne<br /><br /><b>Szczegóły produktu</b><br />Rodzaj dekoltu: Okrągły<br />Przezroczystość: Lekki<br />Wzór: Kolor jednolity<br />Numer produktu: TOB22O018-A11<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 185 cm wzrostu i nosi rozmiar M<br />Długość: Standardowa<br />Długość rękawa: Krótki rękaw<br />Cała długość: 74 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/f31d1d46bc4c463d96e3d01badf7aa0f/c49789250bef49aab223ad68407f6038.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
3;1;T-shirt z nadrukiem - black/blue;T-shirty i koszulki polo;40;1;36;1;;0;2022-12-20;2022-12-24;;;;274;;;;;;;;0,6;;;30;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Struktura/rodzaj materiału: Dżersej<br />Wskazówki pielęgnacyjne: Nie suszyć w suszarce bębnowej, pranie w pralce w 30°C<br /><br /><b>Szczegóły produktu</b><br />Rodzaj dekoltu: Okrągły<br />Wzór: Nadruk<br />Numer produktu: 27022O01I-Q11<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 189 cm wzrostu i nosi rozmiar M<br />Fason: Regular Fit<br />Kształt: Prosty<br />Długość: Długa<br />Długość rękawa: Krótki rękaw<br />Cała długość: 76 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/5ecaecf33eed4bb68656c038d78dfd4a/64635ecd5c014abe88bb47cb3092fa78.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
4;1;ORIGINAL TEE REGULAR FIT - T-shirt basic - black iris;T-shirty i koszulki polo;76;1;69;1;;0;2022-12-20;2022-12-24;;;;Tommy Jeans;;;;;;;;0,87;;;9;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Struktura/rodzaj materiału: Dżersej<br />Wskazówki pielęgnacyjne: Pranie w pralce w 40°C, pranie delikatne<br /><br /><b>Szczegóły produktu</b><br />Rodzaj dekoltu: Okrągły<br />Wzór: Kolor jednolity<br />Numer produktu: TOB22O018-K11<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 185 cm wzrostu i nosi rozmiar M<br />Długość: Standardowa<br />Długość rękawa: Krótki rękaw<br />Cała długość: 70 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/ca1549a4961d3be285dd8b27d32005ec/0b10fcb3bac04696a93c2e5e85c6cf22.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
5;1;DOLIVE - T-shirt z nadrukiem - black;T-shirty i koszulki polo;94;1;86;1;;0;2022-12-20;2022-12-24;;;;HUGO;;;;;;;;0,66;;;29;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Struktura/rodzaj materiału: Dżersej<br />Wskazówki pielęgnacyjne: Nie suszyć w suszarce bębnowej, pranie w pralce w 30°C<br /><br /><b>Szczegóły produktu</b><br />Rodzaj dekoltu: Okrągły<br />Wzór: Nadruk<br />Numer produktu: HU722O0AZ-Q12<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 189 cm wzrostu i nosi rozmiar M<br />Fason: Loose fit<br />Kształt: Prosty<br />Długość: Standardowa<br />Długość rękawa: Krótki rękaw<br />Cała długość: 70 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/6e70bfab7777499783c945c90d563ca6/b78274734a09404e835491608bd14f7a.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
6;1;GRANT - Koszula - rot;Koszule;150;1;137;1;;25;2022-12-20;2022-12-24;;;;Denim Culture;;;;;;;;0,24;;;17;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 60% bawełna, 40% poliester<br />Wskazówki pielęgnacyjne: Pranie w pralce w 30°C<br /><br /><b>Szczegóły produktu</b><br />Kształt kołnierza: Button Down<br />Zapięcie: Guziki<br />Wzór: W kratkę<br />Numer produktu: DEV22D01S-G11<br /><br /><b>Rozmiar i krój</b><br />Fason: Regular Fit<br />Kształt: Prosty<br />Długość: Standardowa<br />Długość rękawa: Długi rękaw<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/995e5d035366415d88fa1b559273fc13/16becd1f3225468090b23ba20f989148.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
7;1;SDTYLER LS 21103247 - Koszula biznesowa - insignia;Koszule;113;1;103;1;;25;2022-12-20;2022-12-24;;;;Solid;;;;;;;;0,37;;;3;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 97% bawełna, 3% elastan<br />Wskazówki pielęgnacyjne: Nie suszyć w suszarce bębnowej, pranie w pralce w 30°C<br /><br /><b>Szczegóły produktu</b><br />Kształt kołnierza: Kołnierzyk klasyczny<br />Zapięcie: Guziki<br />Wzór: Kolor jednolity<br />Numer produktu: SO422D07G-K11<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 184 cm wzrostu i nosi rozmiar M<br />Fason: Slim Fit<br />Kształt: Dopasowany<br />Długość: Standardowa<br />Długość rękawa: Długi rękaw<br />Cała długość: 75 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/32873826ba4a3ad789041412397898a5/632b0cc33fcf4c65a7fa109bce17ba79.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
8;1;KENDRICK - Koszula - blau;Koszule;187;1;170;1;;25;2022-12-20;2022-12-24;;;;Denim Culture;;;;;;;;0,37;;;21;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Wskazówki pielęgnacyjne: Pranie w pralce w 30°C<br /><br /><b>Szczegóły produktu</b><br />Kształt kołnierza: Button Down<br />Zapięcie: Guziki<br />Wzór: W paski<br />Numer produktu: DEV22D01X-K11<br /><br /><b>Rozmiar i krój</b><br />Fason: Regular Fit<br />Kształt: Prosty<br />Długość: Standardowa<br />Długość rękawa: Długi rękaw<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/bf7df13fb9da46bdbd41128d026c4bc3/53f4cd0dcc39477e9ac662f9a1ba350b.jpg?imwidth=300&filter=packshot;;1;;;;;;;;;;;;;;;;;
9;1;LONG SLEEVE - Koszula - white;Koszule;287;1;261;1;;25;2022-12-20;2022-12-24;;;;Polo Ralph Lauren;;;;;;;;0,33;;;7;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Struktura/rodzaj materiału: Pika<br />Wskazówki pielęgnacyjne: Pranie w pralce w 40°C<br /><br /><b>Szczegóły produktu</b><br />Kształt kołnierza: Kołnierzyk stójkowy<br />Zapięcie: Guziki<br />Przezroczystość: Lekki<br />Wzór: Kolor jednolity<br />Numer produktu: PO222D0GU-A11<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 187 cm wzrostu i nosi rozmiar M<br />Fason: Slim Fit<br />Kształt: Prosty<br />Długość: Standardowa<br />Długość rękawa: Długi rękaw<br />Cała długość: 77 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/a4b8a461db9637cd9ad51243a3961867/fdb633391bff4918894749b8a735aa27.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
10;1;Koszula - original;Koszule;79;1;72;1;;25;2022-12-20;2022-12-24;;;;TOM TAILOR DENIM;;;;;;;;0,21;;;8;;;;;;;;;<br /><b>Materiał i wskazówki pielęgnacyjne</b><br />Materiał: 100% bawełna<br />Wskazówki pielęgnacyjne: Pranie w pralce w 40°C, nie suszyć w suszarce bębnowej<br /><br /><b>Szczegóły produktu</b><br />Kształt kołnierza: Button Down<br />Zapięcie: Guziki<br />Wzór: Nadruk<br />Numer produktu: TO722D0EQ-K11<br /><br /><b>Rozmiar i krój</b><br />Wzrost modela: Nasz model ma 189 cm wzrostu i nosi rozmiar M<br />Fason: Slim Fit<br />Kształt: Dopasowany<br />Długość: Standardowa<br />Długość rękawa: Długi rękaw<br />Cała długość: 74 cm w rozmiarze M<br />;;;;;;;;1;;;1;https://img01.ztat.net/article/spp-media-p1/4c047ac3abb03a989030ddddbd4ca0f2/e0381134072a42acbfe715a498685383.jpg?imwidth=300;;1;;;;;;;;;;;;;;;;;
